,city,pop_2018_est,mh_spaces
848,Taylorsville,244,39.0
849,Tobin,0,
850,Planada,4418,
851,Winton,11761,119.0
852,Broadmoor,5286,
853,Moraga,17398,
854,Foster City,33784,
855,Highlands-Baywood Park,4564,
856,Hillsborough,11439,
857,North Fair Oaks,14547,
858,Johannesburg,138,
859,Mojave,4230,242.0
860,Oildale,34723,
861,Rosedale,16737,
862,Coachella,44849,362.0
863,Linden,1790,
864,Cherry Valley,7755,278.0
865,Lakeland Village,13170,
866,Lakeview,2566,
867,Mecca,7174,59.0
868,Moreno Valley,205034,872.0
869,Nuevo,7033,
870,Wallace,1063,
871,Adelanto,33416,257.0
872,Bloomington,21783,496.0
873,Needles,4962,586.0
874,Paradise,186,1586.0
875,Paradise Park,543,
876,Parklawn,1082,
877,Parkway,15885,
878,Pasatiempo,1018,
879,Paskenta,105,
880,Patterson Tract,2351,
881,Patton Village,604,
882,Paynes Creek,53,
883,Penngrove,2961,34.0
884,Penryn,925,
885,Pescadero,226,
886,Peters,604,
887,Phelan,15532,60.0
888,Phillipsville,72,24.0
889,Philo,201,9.0
890,Phoenix Lake,4283,
891,Pierpoint,0,
892,Pike,167,
893,Pine Canyon,2294,
894,Pine Flat,149,
895,Pine Grove,1730,135.0
896,Pine Mountain Lake,2671,
897,Piñon Hills,7592,
898,Pioneer,1443,186.0
899,Plainview,863,
900,Plumas Lake,7367,
901,Ponderosa,0,
902,Posey,0,
903,Poso Park,2,
904,Potrero,625,54.0
905,Aliso Viejo,50925,
906,Yountville,2982,317.0
907,Goleta,30790,650.0
908,Eastvale,61337,716.0
909,Fairbanks Ranch,2901,
910,Imperial Beach,27290,81.0
911,Poway,49842,696.0
912,Valley Center,9059,387.0
913,Concow,743,
914,Greenfield,17276,84.0
915,Pacific Grove,15567,103.0
916,San Ardo,554,14.0
917,Seaside,34077,488.0
918,Suisun City,29379,54.0
919,Rancho Calaveras,7035,
920,Apple Valley,72359,1427.0
921,Barstow,23812,1296.0
922,Big River,1145,
923,Winchester,2931,
